batch_id,sku,location_id,product_class,trust_flag,units_on_hand,unit_cost_usd,days_to_expiry,in_scope,days_weight,unsold_share,batch_value,score,band
LF-11078,SKU-0001,LOC-09,FOOD_AMBIENT,OK,29,11.1,4,Y,1.0,0.9218,321.9,296.74,P3
LF-11583,SKU-0339,LOC-13,FOOD_CHILLED,OK,92,8.1,29,Y,0.5,0.7583,745.2,282.55,P3
LF-11096,SKU-0488,LOC-13,FOOD_CHILLED,OK,65,11.08,15,Y,0.5,0.7615,720.2,274.23,P3
LF-11132,SKU-0450,LOC-18,FOOD_CHILLED,OK,25,11.07,5,Y,1.0,0.9467,276.75,261.99,P3
LF-10937,SKU-0919,LOC-15,FOOD_AMBIENT,OK,64,4.27,7,Y,1.0,0.9526,273.28,260.33,P3
LF-10181,SKU-0458,LOC-06,HEALTHCARE,OK,13,25.47,8,Y,0.8,0.959,331.11,254.02,P3
LF-11093,SKU-0153,LOC-07,FOOD_CHILLED,OK,32,10.52,11,Y,0.8,0.9427,336.64,253.88,P3
LF-11083,SKU-0918,LOC-07,HEALTHCARE,OK,60,9.52,20,Y,0.5,0.8778,571.2,250.69,P3
LF-11833,SKU-0728,LOC-02,FOOD_CHILLED,OK,33,10.34,14,Y,0.8,0.8869,341.22,242.09,P3
LF-10478,SKU-0728,LOC-03,FOOD_CHILLED,OK,23,10.34,2,Y,1.0,0.9884,237.82,235.06,P3
LF-11163,SKU-0312,LOC-07,FOOD_CHILLED,OK,103,7.97,20,Y,0.5,0.5599,820.91,229.8,P3
LF-11911,SKU-0078,LOC-36,FOOD_CHILLED,OK,20,11.86,4,Y,1.0,0.96,237.2,227.71,P3
LF-11494,SKU-0574,LOC-25,FOOD_CHILLED,OK,23,10.84,4,Y,1.0,0.9072,249.32,226.19,P3
LF-10037,SKU-0078,LOC-18,FOOD_CHILLED,OK,60,11.86,28,Y,0.5,0.6111,711.6,217.43,P3
LF-10251,SKU-0294,LOC-31,FOOD_CHILLED,OK,176,7.5,30,Y,0.5,0.3239,1320.0,213.75,P3
LF-11198,SKU-0612,LOC-34,HEALTHCARE,OK,16,17.36,8,Y,0.8,0.95,277.76,211.1,P3
LF-10676,SKU-0593,LOC-17,FOOD_CHILLED,OK,41,7.28,10,Y,0.8,0.8618,298.48,205.78,P3
LF-11547,SKU-0382,LOC-17,FOOD_AMBIENT,OK,66,7.87,30,Y,0.5,0.7879,519.42,204.62,P3
LF-10183,SKU-1028,LOC-10,FOOD_CHILLED,OK,26,7.77,1,Y,1.0,0.9936,202.02,200.72,P3
LF-10826,SKU-0226,LOC-14,FOOD_CHILLED,OK,44,10.98,28,Y,0.5,0.8303,483.12,200.57,P3
LF-11850,SKU-1067,LOC-14,FOOD_CHILLED,OK,37,5.4,-7,Y,1.0,1.0,199.8,199.8,P3
LF-10425,SKU-0574,LOC-22,FOOD_CHILLED,OK,41,10.84,19,Y,0.5,0.861,444.44,191.33,P3
LF-11429,SKU-0942,LOC-10,HEALTHCARE,OK,5,38.54,1,Y,1.0,0.9867,192.7,190.13,P3
LF-11147,SKU-0339,LOC-15,FOOD_CHILLED,OK,30,8.1,9,Y,0.8,0.95,243.0,184.68,P3
LF-10484,SKU-0290,LOC-24,FOOD_CHILLED,OK,45,10.06,15,Y,0.5,0.8,452.7,181.08,P3
LF-70007,SKU-1097,LOC-27,FOOD_AMBIENT,OK,500,6.0,35,Y,0.2,0.3,3000.0,180.0,P3
LF-10121,SKU-0851,LOC-32,FOOD_CHILLED,OK,178,7.62,35,Y,0.2,0.6526,1356.36,177.04,P3
LF-11286,SKU-0201,LOC-04,FOOD_CHILLED,OK,22,10.82,14,Y,0.8,0.9152,238.04,174.27,P3
LF-11506,SKU-0724,LOC-15,FOOD_CHILLED,OK,62,3.76,14,Y,0.8,0.9172,233.12,171.05,P3
LF-10665,SKU-0740,LOC-10,FOOD_AMBIENT,OK,58,3.04,6,Y,1.0,0.969,176.32,170.85,P3
LF-11267,SKU-0874,LOC-21,FOOD_AMBIENT,OK,18,9.79,7,Y,1.0,0.9611,176.22,169.37,P3
LF-11715,SKU-0039,LOC-31,FOOD_CHILLED,OK,27,14.95,19,Y,0.5,0.8358,403.65,168.69,P3
LF-11595,SKU-0431,LOC-38,FOOD_CHILLED,OK,13,13.59,6,Y,1.0,0.9538,176.67,168.52,P3
LF-10490,SKU-0120,LOC-13,HEALTHCARE,OK,29,16.87,21,Y,0.5,0.6862,489.23,167.86,P3
LF-10319,SKU-0403,LOC-06,FOOD_CHILLED,OK,91,14.09,32,Y,0.2,0.6484,1282.19,166.26,P3
LF-10849,SKU-0921,LOC-16,FOOD_AMBIENT,OK,59,6.61,24,Y,0.5,0.8508,389.99,165.91,P3
LF-11661,SKU-0212,LOC-08,FOOD_CHILLED,OK,28,13.83,25,Y,0.5,0.8512,387.24,164.81,P3
LF-11041,SKU-0068,LOC-38,FOOD_CHILLED,OK,72,14.66,31,Y,0.2,0.7704,1055.52,162.63,P3
LF-10804,SKU-0464,LOC-29,FOOD_AMBIENT,OK,17,9.53,-8,Y,1.0,1.0,162.01,162.01,P3
LF-11789,SKU-1066,LOC-25,FOOD_CHILLED,OK,33,11.33,27,Y,0.5,0.8636,373.89,161.45,P3
LF-11158,SKU-1035,LOC-32,FOOD_CHILLED,OK,14,11.56,1,Y,1.0,0.9929,161.84,160.68,P3
LF-10997,SKU-0703,LOC-25,FOOD_CHILLED,OK,27,8.28,12,Y,0.8,0.8815,223.56,157.65,P3
LF-10268,SKU-0909,LOC-04,FOOD_AMBIENT,OK,57,6.11,18,Y,0.5,0.9053,348.27,157.64,P3
LF-11598,SKU-0582,LOC-22,FOOD_CHILLED,OK,53,7.14,16,Y,0.5,0.8289,378.42,156.84,P3
LF-11454,SKU-0584,LOC-31,FOOD_CHILLED,OK,88,4.2,25,Y,0.5,0.839,369.6,155.05,P3
LF-10137,SKU-0657,LOC-32,FOOD_CHILLED,OK,96,13.95,38,Y,0.2,0.5778,1339.2,154.75,P3
LF-11196,SKU-0355,LOC-34,FOOD_CHILLED,OK,31,14.33,22,Y,0.5,0.6925,444.23,153.81,P3
LF-11597,SKU-0418,LOC-09,HEALTHCARE,OK,35,12.24,27,Y,0.5,0.7171,428.4,153.61,P3
LF-11924,SKU-0650,LOC-24,FOOD_AMBIENT,OK,61,2.92,4,Y,1.0,0.8514,178.12,151.65,P3
LF-11285,SKU-0730,LOC-10,HEALTHCARE,OK,37,27.55,48,Y,0.2,0.7405,1019.35,150.97,P3
LF-70002,SKU-1092,LOC-20,FOOD_AMBIENT,OK,100,4.0,25,Y,0.5,0.75,400.0,150.0,P3
LF-11514,SKU-0655,LOC-17,FOOD_CHILLED,OK,26,12.71,18,Y,0.5,0.9077,330.46,149.98,P3
LF-10461,SKU-0771,LOC-31,FOOD_AMBIENT,OK,44,7.55,21,Y,0.5,0.8886,332.2,147.6,P3
LF-10274,SKU-0483,LOC-31,FOOD_CHILLED,OK,33,6.06,14,Y,0.8,0.901,199.98,144.15,P3
LF-10947,SKU-0353,LOC-27,FOOD_AMBIENT,OK,70,4.81,26,Y,0.5,0.839,336.7,141.25,P3
LF-11075,SKU-0239,LOC-13,FOOD_CHILLED,OK,120,3.3,26,Y,0.5,0.7039,396.0,139.37,P3
LF-10273,SKU-0777,LOC-25,FOOD_CHILLED,OK,28,9.03,11,Y,0.8,0.6857,252.84,138.7,P3
LF-11749,SKU-0248,LOC-25,HEALTHCARE,OK,44,33.28,50,Y,0.2,0.4697,1464.32,137.56,P3
LF-11411,SKU-0368,LOC-15,FOOD_AMBIENT,OK,84,1.69,5,Y,1.0,0.9464,141.96,134.35,P3
LF-11476,SKU-0290,LOC-08,FOOD_CHILLED,OK,14,10.06,6,Y,1.0,0.9429,140.84,132.79,P3
LF-11290,SKU-0344,LOC-15,FOOD_CHILLED,OK,32,11.44,18,Y,0.5,0.7188,366.08,131.56,P3
LF-11081,SKU-0512,LOC-17,FOOD_AMBIENT,OK,49,3.5,10,Y,0.8,0.9456,171.5,129.73,P3
LF-10219,SKU-0152,LOC-24,HEALTHCARE,OK,47,19.47,45,Y,0.2,0.6809,915.09,124.61,P3
LF-11571,SKU-0950,LOC-25,FOOD_CHILLED,OK,53,14.11,33,Y,0.2,0.8132,747.83,121.63,P3
LF-11329,SKU-0087,LOC-24,FOOD_CHILLED,OK,20,6.22,5,Y,1.0,0.9667,124.4,120.25,P3
LF-10890,SKU-0731,LOC-10,FOOD_CHILLED,OK,21,14.12,25,Y,0.5,0.8016,296.52,118.84,P3
LF-10358,SKU-0184,LOC-04,FOOD_AMBIENT,OK,24,5.03,5,Y,1.0,0.9653,120.72,116.53,P3
LF-11353,SKU-0104,LOC-32,HEALTHCARE,OK,25,33.09,56,Y,0.2,0.7013,827.25,116.04,P3
LF-10499,SKU-0984,LOC-04,FOOD_CHILLED,OK,33,8.8,29,Y,0.5,0.7949,290.4,115.43,P3
LF-10033,SKU-0431,LOC-01,FOOD_CHILLED,OK,33,13.59,22,Y,0.5,0.5111,448.47,114.61,P3
LF-10371,SKU-0877,LOC-12,FOOD_AMBIENT,OK,105,7.87,52,Y,0.2,0.6863,826.35,113.43,P3
LF-10059,SKU-0893,LOC-30,FOOD_AMBIENT,OK,32,8.28,19,Y,0.5,0.8417,264.96,111.5,P3
LF-10028,SKU-0432,LOC-24,FOOD_CHILLED,OK,18,6.33,1,Y,1.0,0.9778,113.94,111.41,P3
LF-10888,SKU-0269,LOC-01,FOOD_CHILLED,OK,22,12.83,24,Y,0.5,0.7818,282.26,110.34,P3
LF-10598,SKU-0757,LOC-18,FOOD_CHILLED,OK,12,12.22,11,Y,0.8,0.9389,146.64,110.14,P3
LF-11275,SKU-0593,LOC-03,FOOD_CHILLED,OK,36,7.28,30,Y,0.5,0.8333,262.08,109.2,P3
LF-10714,SKU-0830,LOC-24,FOOD_AMBIENT,OK,49,5.45,23,Y,0.5,0.8122,267.05,108.45,P3
LF-10225,SKU-0412,LOC-21,FOOD_AMBIENT,OK,64,1.72,1,Y,1.0,0.9823,110.08,108.13,P3
LF-11868,SKU-0636,LOC-36,FOOD_AMBIENT,OK,54,2.04,3,Y,1.0,0.9815,110.16,108.12,P3
LF-11474,SKU-0009,LOC-17,FOOD_CHILLED,OK,46,14.53,33,Y,0.2,0.8087,668.38,108.1,P3
LF-11472,SKU-0023,LOC-09,FOOD_AMBIENT,OK,13,11.99,12,Y,0.8,0.8462,155.87,105.51,P3
LF-10161,SKU-1021,LOC-10,FOOD_AMBIENT,OK,29,5.3,13,Y,0.8,0.8506,153.7,104.59,P3
LF-10374,SKU-0591,LOC-15,FOOD_AMBIENT,OK,107,9.43,43,Y,0.2,0.5178,1009.01,104.48,P3
LF-10621,SKU-1059,LOC-07,FOOD_AMBIENT,OK,27,5.12,8,Y,0.8,0.921,138.24,101.85,P3
LF-10733,SKU-0668,LOC-35,FOOD_AMBIENT,OK,45,5.2,20,Y,0.5,0.8667,234.0,101.4,P3
LF-11681,SKU-0713,LOC-21,FOOD_AMBIENT,OK,132,5.08,31,Y,0.2,0.7495,670.56,100.52,P3
LF-11409,SKU-0601,LOC-18,FOOD_CHILLED,OK,51,12.62,35,Y,0.2,0.7712,643.62,99.28,P3
LF-10990,SKU-0224,LOC-32,FOOD_AMBIENT,OK,31,7.85,23,Y,0.5,0.8022,243.35,97.6,P3
LF-10462,SKU-0884,LOC-17,FOOD_CHILLED,OK,9,10.75,3,Y,1.0,0.9778,96.75,94.6,P3
LF-11839,SKU-0310,LOC-07,FOOD_CHILLED,OK,50,12.23,35,Y,0.2,0.7433,611.5,90.91,P3
LF-11295,SKU-0743,LOC-06,FOOD_CHILLED,OK,64,3.96,27,Y,0.5,0.7047,253.44,89.3,P3
LF-10845,SKU-0605,LOC-01,FOOD_CHILLED,OK,36,6.56,23,Y,0.5,0.7444,236.16,87.9,P3
LF-11418,SKU-1048,LOC-02,HEALTHCARE,OK,20,9.35,15,Y,0.5,0.925,187.0,86.49,P3
LF-11293,SKU-0423,LOC-34,FOOD_CHILLED,OK,23,3.77,1,Y,1.0,0.9942,86.71,86.21,P3
LF-10566,SKU-0169,LOC-11,FOOD_AMBIENT,OK,45,7.88,24,Y,0.5,0.4844,354.6,85.89,P3
LF-10390,SKU-0312,LOC-25,FOOD_CHILLED,OK,11,7.97,4,Y,1.0,0.9758,87.67,85.54,P3
LF-10785,SKU-0004,LOC-04,FOOD_CHILLED,OK,36,14.99,38,Y,0.2,0.7889,539.64,85.14,P3
LF-10592,SKU-0393,LOC-07,FOOD_CHILLED,OK,115,4.58,38,Y,0.2,0.8017,526.7,84.46,P3
LF-11023,SKU-0500,LOC-24,FOOD_AMBIENT,OK,43,11.99,32,Y,0.2,0.8016,515.57,82.65,P3
LF-11153,SKU-0930,LOC-10,HEALTHCARE,OK,39,7.97,19,Y,0.5,0.5291,310.83,82.22,P3
LF-11165,SKU-0990,LOC-02,HEALTHCARE,OK,17,33.37,48,Y,0.2,0.7176,567.29,81.42,P3
LF-10128,SKU-0251,LOC-19,FOOD_AMBIENT,OK,20,9.54,23,Y,0.5,0.8467,190.8,80.77,P3
LF-10602,SKU-0644,LOC-37,FOOD_AMBIENT,OK,16,4.83,-6,Y,1.0,1.0,77.28,77.28,P3
LF-11313,SKU-0640,LOC-18,FOOD_CHILLED,OK,23,4.45,12,Y,0.8,0.913,102.35,74.76,P3
LF-10430,SKU-0037,LOC-10,FOOD_CHILLED,OK,84,5.93,45,Y,0.2,0.75,498.12,74.72,P3
LF-10968,SKU-0961,LOC-01,FOOD_CHILLED,OK,14,7.05,13,Y,0.8,0.9381,98.7,74.07,P3
LF-10244,SKU-0519,LOC-27,FOOD_CHILLED,OK,20,3.78,5,Y,1.0,0.9583,75.6,72.45,P3
LF-11170,SKU-0363,LOC-10,FOOD_CHILLED,OK,26,3.73,11,Y,0.8,0.9295,96.98,72.11,P3
LF-11017,SKU-0357,LOC-28,FOOD_CHILLED,OK,42,12.24,43,Y,0.2,0.6929,514.08,71.24,P3
LF-11684,SKU-1002,LOC-13,FOOD_AMBIENT,OK,28,2.71,4,Y,1.0,0.919,75.88,69.74,P3
LF-11343,SKU-0582,LOC-08,FOOD_CHILLED,OK,24,7.14,24,Y,0.5,0.8,171.36,68.54,P3
LF-11752,SKU-0870,LOC-11,FOOD_AMBIENT,OK,120,8.5,46,Y,0.2,0.3356,1020.0,68.45,P3
LF-11831,SKU-0442,LOC-15,FOOD_CHILLED,OK,41,12.93,40,Y,0.2,0.6423,530.13,68.1,P3
LF-11766,SKU-0655,LOC-03,FOOD_CHILLED,OK,36,12.71,48,Y,0.2,0.7333,457.56,67.11,P3
LF-10132,SKU-0254,LOC-31,FOOD_CHILLED,OK,21,7.07,24,Y,0.5,0.8857,148.47,65.75,P3
LF-10904,SKU-0082,LOC-13,FOOD_AMBIENT,OK,51,8.66,42,Y,0.2,0.7255,441.66,64.08,P3
LF-10959,SKU-0773,LOC-13,FOOD_CHILLED,OK,34,13.29,60,Y,0.2,0.7059,451.86,63.79,P3
LF-11206,SKU-0346,LOC-34,FOOD_AMBIENT,OK,31,2.91,13,Y,0.8,0.8742,90.21,63.09,P3
LF-10367,SKU-0036,LOC-31,FOOD_CHILLED,OK,39,2.96,8,Y,0.8,0.6786,115.44,62.67,P3
LF-10217,SKU-0627,LOC-05,FOOD_AMBIENT,OK,20,7.0,16,Y,0.5,0.8933,140.0,62.53,P3
LF-11248,SKU-0475,LOC-32,FOOD_AMBIENT,OK,113,1.5,28,Y,0.5,0.7357,169.5,62.35,P3
LF-10940,SKU-0064,LOC-08,FOOD_AMBIENT,OK,47,8.21,40,Y,0.2,0.8014,385.87,61.85,P3
LF-11931,SKU-0907,LOC-10,FOOD_CHILLED,OK,12,13.12,26,Y,0.5,0.7833,157.44,61.66,P3
LF-11391,SKU-0423,LOC-04,FOOD_CHILLED,OK,22,3.77,10,Y,0.8,0.9242,82.94,61.33,P3
LF-10039,SKU-0941,LOC-22,FOOD_AMBIENT,OK,25,5.72,16,Y,0.5,0.8507,143.0,60.82,P3
LF-10157,SKU-0966,LOC-15,FOOD_CHILLED,OK,34,10.89,33,Y,0.2,0.8059,370.26,59.68,P3
LF-10614,SKU-0805,LOC-03,FOOD_AMBIENT,OK,22,6.95,25,Y,0.5,0.7727,152.9,59.08,P3
LF-11935,SKU-0770,LOC-20,HEALTHCARE,OK,16,33.3,43,Y,0.2,0.5521,532.8,58.83,P3
LF-10179,SKU-0392,LOC-13,FOOD_CHILLED,OK,28,4.94,19,Y,0.5,0.8417,138.32,58.21,P3
LF-11338,SKU-0795,LOC-06,FOOD_AMBIENT,OK,57,7.35,53,Y,0.2,0.6901,418.95,57.82,P3
LF-11250,SKU-0094,LOC-22,FOOD_CHILLED,OK,23,2.54,2,Y,1.0,0.9855,58.42,57.57,P3
LF-10835,SKU-0575,LOC-28,FOOD_CHILLED,OK,14,10.38,19,Y,0.5,0.7738,145.32,56.23,P3
LF-11426,SKU-0915,LOC-01,FOOD_AMBIENT,OK,39,9.52,42,Y,0.2,0.7487,371.28,55.6,P3
LF-11485,SKU-0937,LOC-24,FOOD_CHILLED,OK,39,9.33,49,Y,0.2,0.7487,363.87,54.49,P3
LF-10015,SKU-1083,LOC-06,FOOD_CHILLED,OK,77,8.84,48,Y,0.2,0.3974,680.68,54.1,P3
LF-10978,SKU-0012,LOC-22,FOOD_CHILLED,OK,37,9.91,51,Y,0.2,0.7243,366.67,53.12,P3
LF-10284,SKU-0326,LOC-08,FOOD_CHILLED,OK,17,7.33,27,Y,0.5,0.8412,124.61,52.41,P3
LF-10239,SKU-0812,LOC-08,FOOD_AMBIENT,OK,26,4.45,15,Y,0.5,0.9038,115.7,52.29,P3
LF-10956,SKU-0397,LOC-36,FOOD_CHILLED,OK,144,2.55,44,Y,0.2,0.7046,367.2,51.75,P3
LF-10807,SKU-0860,LOC-30,FOOD_AMBIENT,OK,24,3.24,11,Y,0.8,0.8319,77.76,51.75,P3
LF-11884,SKU-0431,LOC-03,FOOD_CHILLED,OK,9,13.59,22,Y,0.5,0.837,122.31,51.19,P3
LF-10199,SKU-0485,LOC-36,FOOD_CHILLED,OK,30,11.95,37,Y,0.2,0.7122,358.5,51.07,P3
LF-10509,SKU-0094,LOC-08,FOOD_CHILLED,OK,66,2.54,25,Y,0.5,0.6086,167.64,51.01,P3
LF-11106,SKU-0247,LOC-04,FOOD_AMBIENT,OK,39,9.88,51,Y,0.2,0.6513,385.32,50.19,P3
LF-10630,SKU-0175,LOC-32,FOOD_CHILLED,OK,20,7.14,26,Y,0.5,0.6967,142.8,49.74,P3
LF-11266,SKU-0728,LOC-17,FOOD_CHILLED,OK,11,10.34,21,Y,0.5,0.8727,113.74,49.63,P3
LF-11892,SKU-0029,LOC-01,FOOD_CHILLED,OK,99,6.43,52,Y,0.2,0.3872,636.57,49.3,P3
LF-11887,SKU-0225,LOC-13,FOOD_AMBIENT,OK,8,6.0,-9,Y,1.0,1.0,48.0,48.0,P3
LF-10721,SKU-0015,LOC-29,FOOD_AMBIENT,OK,38,9.09,35,Y,0.2,0.693,345.42,47.87,P3
LF-11015,SKU-0761,LOC-02,FOOD_AMBIENT,OK,57,1.95,20,Y,0.5,0.848,111.15,47.12,P3
LF-10477,SKU-0688,LOC-05,FOOD_AMBIENT,OK,16,3.88,13,Y,0.8,0.9187,62.08,45.63,P3
LF-11671,SKU-0571,LOC-21,FOOD_AMBIENT,OK,32,9.38,39,Y,0.2,0.7562,300.16,45.4,P3
LF-10848,SKU-0352,LOC-38,FOOD_CHILLED,OK,52,11.78,47,Y,0.2,0.3673,612.56,45.0,P3
LF-11437,SKU-0148,LOC-32,FOOD_CHILLED,OK,19,5.74,18,Y,0.5,0.8105,109.06,44.2,P3
LF-10341,SKU-0511,LOC-24,FOOD_CHILLED,OK,29,11.55,33,Y,0.2,0.6586,334.95,44.12,P3
LF-10786,SKU-0398,LOC-18,FOOD_CHILLED,OK,15,3.92,9,Y,0.8,0.92,58.8,43.28,P3
LF-10117,SKU-0186,LOC-18,FOOD_CHILLED,OK,79,3.35,35,Y,0.2,0.808,264.65,42.77,P3
LF-10046,SKU-0392,LOC-34,FOOD_CHILLED,OK,19,4.94,15,Y,0.5,0.8947,93.86,41.99,P3
LF-10427,SKU-0229,LOC-36,FOOD_AMBIENT,OK,34,10.03,50,Y,0.2,0.6078,341.02,41.46,P3
LF-10147,SKU-0519,LOC-34,FOOD_CHILLED,OK,116,3.78,46,Y,0.2,0.458,438.48,40.17,P3
LF-10837,SKU-0298,LOC-34,FOOD_CHILLED,OK,23,13.72,36,Y,0.2,0.6348,315.56,40.06,P3
LF-11148,SKU-0027,LOC-34,FOOD_CHILLED,OK,14,6.26,22,Y,0.5,0.8952,87.64,39.23,P3
LF-10155,SKU-0078,LOC-31,FOOD_CHILLED,OK,45,11.86,57,Y,0.2,0.3667,533.7,39.14,P3
LF-11440,SKU-0553,LOC-13,FOOD_CHILLED,OK,11,4.52,9,Y,0.8,0.9455,49.72,37.61,P3
LF-11129,SKU-0403,LOC-25,FOOD_CHILLED,OK,6,14.09,20,Y,0.5,0.8889,84.54,37.57,P3
LF-10933,SKU-0271,LOC-19,FOOD_AMBIENT,OK,15,6.32,19,Y,0.5,0.7889,94.8,37.39,P3
LF-11937,SKU-0487,LOC-33,FOOD_AMBIENT,OK,22,10.47,28,Y,0.5,0.3212,230.34,36.99,P3
LF-10536,SKU-0780,LOC-18,FOOD_CHILLED,OK,28,8.68,45,Y,0.2,0.7321,243.04,35.59,P3
