sku,description,product_class,shelf_life_days,unit_cost_usd,supplier_id,supplier_accepts_returns
SKU-0084,Fruit jam 500 g,FOOD_AMBIENT,270,5.52,SUP-16,Y
SKU-0085,Salted snacks family pack,FOOD_AMBIENT,716,1.4,SUP-48,Y
SKU-0086,Peanut butter 500 g,FOOD_AMBIENT,352,1.38,SUP-34,Y
SKU-0087,Dessert cup 500 ml,FOOD_CHILLED,144,6.22,SUP-16,Y
SKU-0088,Breakfast cereal 1 kg,FOOD_AMBIENT,382,2.5,SUP-49,N
SKU-0089,Lentils twin pack,FOOD_AMBIENT,361,11.44,SUP-30,N
SKU-0090,Chocolate bar 250 g,FOOD_AMBIENT,639,8.33,SUP-42,N
SKU-0091,Soup mix family pack,FOOD_AMBIENT,510,10.44,SUP-10,Y
SKU-0092,Sugar family pack,FOOD_AMBIENT,632,7.76,SUP-38,Y
SKU-0093,Hummus 1 l,FOOD_CHILLED,54,5.69,SUP-03,Y
SKU-0094,Salad bowl 250 g,FOOD_CHILLED,81,2.54,SUP-40,Y
SKU-0095,Salted snacks 500 g,FOOD_AMBIENT,653,7.17,SUP-29,N
SKU-0096,Chocolate bar twin pack,FOOD_AMBIENT,372,4.2,SUP-33,Y
SKU-0097,Wheat flour family pack,FOOD_AMBIENT,641,1.69,SUP-46,Y
SKU-0098,Cream 1 l,FOOD_CHILLED,67,2.03,SUP-29,Y
SKU-0099,Calcium tablets 100 ml,HEALTHCARE,527,16.46,SUP-25,Y
SKU-0100,Peanut butter family pack,FOOD_AMBIENT,233,9.58,SUP-05,Y
SKU-0101,Cornflakes 250 g,FOOD_AMBIENT,575,3.77,SUP-56,Y
SKU-0102,Lentils family pack,FOOD_AMBIENT,324,11.04,SUP-42,N
SKU-0103,Antiseptic solution 30 ct,HEALTHCARE,497,25.02,SUP-20,Y
SKU-0104,Pain relief gel 200 ml,HEALTHCARE,701,33.09,SUP-06,N
SKU-0105,Fresh pasta 4 pack,FOOD_CHILLED,110,6.38,SUP-20,Y
SKU-0106,Biscuits twin pack,FOOD_AMBIENT,529,11.4,SUP-13,Y
SKU-0107,Paracetamol pack 30 ct,HEALTHCARE,523,5.86,SUP-33,N
SKU-0108,Spice mix 250 g,FOOD_AMBIENT,218,8.11,SUP-09,Y
SKU-0109,Tea 250 g,FOOD_AMBIENT,346,2.58,SUP-52,N
SKU-0110,Egg tray 4 pack,FOOD_CHILLED,101,2.09,SUP-44,N
SKU-0111,Oats twin pack,FOOD_AMBIENT,471,9.15,SUP-15,Y
SKU-0112,Canned tomatoes 1 kg,FOOD_AMBIENT,660,10.9,SUP-24,N
SKU-0113,Chocolate bar family pack,FOOD_AMBIENT,631,5.81,SUP-50,Y
SKU-0114,Spice mix 1 kg,FOOD_AMBIENT,608,11.61,SUP-52,N
SKU-0115,Salad bowl 1 l,FOOD_CHILLED,77,2.2,SUP-56,Y
SKU-0116,Hand sanitiser 200 ml,HEALTHCARE,470,29.32,SUP-55,Y
SKU-0117,Fresh milk 1 l,FOOD_CHILLED,142,3.66,SUP-58,Y
SKU-0118,Digital thermometer strips 60 ct,HEALTHCARE,812,6.39,SUP-53,Y
SKU-0119,Fruit jam twin pack,FOOD_AMBIENT,207,5.27,SUP-33,Y
SKU-0120,Antiseptic solution 30 ct,HEALTHCARE,448,16.87,SUP-21,N
SKU-0121,Digital thermometer strips 60 ct,HEALTHCARE,1030,15.41,SUP-09,Y
SKU-0122,Dessert cup 500 ml,FOOD_CHILLED,105,10.9,SUP-49,N
SKU-0123,Oats 500 g,FOOD_AMBIENT,185,10.92,SUP-17,Y
SKU-0124,Tea family pack,FOOD_AMBIENT,720,5.37,SUP-16,Y
SKU-0125,Vitamin C tablets 200 ml,HEALTHCARE,609,18.53,SUP-30,Y
SKU-0126,Sugar 250 g,FOOD_AMBIENT,196,7.77,SUP-16,N
SKU-0127,Canned tomatoes family pack,FOOD_AMBIENT,619,0.52,SUP-16,Y
SKU-0128,Instant noodles family pack,FOOD_AMBIENT,267,6.52,SUP-05,N
SKU-0129,Cornflakes 250 g,FOOD_AMBIENT,699,9.54,SUP-36,Y
SKU-0130,Sugar family pack,FOOD_AMBIENT,224,7.81,SUP-17,N
SKU-0131,Fruit juice 500 ml,FOOD_CHILLED,145,2.41,SUP-47,N
SKU-0132,Cooking oil family pack,FOOD_AMBIENT,520,2.03,SUP-35,Y
SKU-0133,Instant noodles twin pack,FOOD_AMBIENT,655,11.78,SUP-41,Y
SKU-0134,Paracetamol pack pack of 10,HEALTHCARE,429,29.49,SUP-03,Y
SKU-0135,Vitamin C tablets 100 ml,HEALTHCARE,569,35.77,SUP-60,Y
SKU-0136,Salted snacks 1 kg,FOOD_AMBIENT,664,3.41,SUP-19,Y
SKU-0137,Wheat flour family pack,FOOD_AMBIENT,519,3.64,SUP-28,N
SKU-0138,Oats 1 kg,FOOD_AMBIENT,575,4.4,SUP-32,N
SKU-0139,Fruit jam 500 g,FOOD_AMBIENT,711,3.57,SUP-47,Y
SKU-0140,Antiseptic solution 60 ct,HEALTHCARE,981,39.82,SUP-35,Y
SKU-0141,Cooking oil family pack,FOOD_AMBIENT,261,4.27,SUP-20,Y
SKU-0142,Egg tray 1 l,FOOD_CHILLED,99,3.75,SUP-23,Y
SKU-0143,Fruit jam 500 g,FOOD_AMBIENT,625,3.66,SUP-05,N
SKU-0144,Fresh pasta 500 ml,FOOD_CHILLED,91,8.43,SUP-02,Y
SKU-0145,Cold cuts 250 g,FOOD_CHILLED,131,12.05,SUP-09,Y
SKU-0146,Fruit jam 250 g,FOOD_AMBIENT,550,4.9,SUP-03,N
SKU-0147,Oats 500 g,FOOD_AMBIENT,559,4.78,SUP-37,Y
SKU-0148,Fruit juice 4 pack,FOOD_CHILLED,95,5.74,SUP-16,N
SKU-0149,Basmati rice twin pack,FOOD_AMBIENT,370,6.24,SUP-59,Y
SKU-0150,Butter 1 l,FOOD_CHILLED,144,5.01,SUP-14,N
SKU-0151,Canned tomatoes 1 kg,FOOD_AMBIENT,682,2.8,SUP-55,Y
SKU-0152,Paracetamol pack 30 ct,HEALTHCARE,1095,19.47,SUP-52,N
SKU-0153,Salad bowl 250 g,FOOD_CHILLED,85,10.52,SUP-36,Y
SKU-0154,Canned tomatoes 1 kg,FOOD_AMBIENT,341,8.69,SUP-51,Y
SKU-0155,Pasta 1 kg,FOOD_AMBIENT,304,11.83,SUP-16,N
SKU-0156,Yoghurt 4 pack,FOOD_CHILLED,91,8.98,SUP-30,N
SKU-0157,Iron supplement 30 ct,HEALTHCARE,497,25.64,SUP-05,Y
SKU-0158,Sugar twin pack,FOOD_AMBIENT,718,5.22,SUP-53,Y
SKU-0159,Paracetamol pack pack of 10,HEALTHCARE,689,26.77,SUP-30,N
SKU-0160,Fruit jam 250 g,FOOD_AMBIENT,311,10.6,SUP-41,Y
SKU-0161,Sandwich pack 250 g,FOOD_CHILLED,61,7.34,SUP-54,Y
SKU-0162,Tea family pack,FOOD_AMBIENT,491,2.39,SUP-60,N
SKU-0163,Fruit jam 500 g,FOOD_AMBIENT,711,10.79,SUP-17,Y
SKU-0164,Cornflakes family pack,FOOD_AMBIENT,461,1.94,SUP-40,Y
SKU-0165,Spice mix 250 g,FOOD_AMBIENT,352,7.31,SUP-10,Y
SKU-0166,Soup mix 250 g,FOOD_AMBIENT,525,10.19,SUP-03,N
SKU-0167,Basmati rice 250 g,FOOD_AMBIENT,263,1.02,SUP-17,N
SKU-0168,Chocolate bar 500 g,FOOD_AMBIENT,606,7.61,SUP-32,N
SKU-0169,Cornflakes family pack,FOOD_AMBIENT,476,7.88,SUP-31,Y
SKU-0170,Salted snacks 500 g,FOOD_AMBIENT,484,5.72,SUP-11,Y
SKU-0171,Sugar 250 g,FOOD_AMBIENT,655,2.85,SUP-10,Y
SKU-0172,Eye drops 100 ml,HEALTHCARE,691,30.17,SUP-26,Y
SKU-0173,Fruit juice 4 pack,FOOD_CHILLED,110,9.08,SUP-16,Y
SKU-0174,Breakfast cereal 500 g,FOOD_AMBIENT,640,3.35,SUP-04,Y
SKU-0175,Fresh pasta 500 ml,FOOD_CHILLED,123,7.14,SUP-53,Y
SKU-0176,Calcium tablets 60 ct,HEALTHCARE,685,10.02,SUP-32,N
SKU-0177,Oats twin pack,FOOD_AMBIENT,690,10.61,SUP-02,Y
SKU-0178,Fresh pasta 500 ml,FOOD_CHILLED,109,7.67,SUP-14,Y
SKU-0179,Wheat flour 250 g,FOOD_AMBIENT,231,3.74,SUP-57,N
SKU-0180,Pain relief gel 30 ct,HEALTHCARE,846,13.57,SUP-55,Y
SKU-0181,Tea twin pack,FOOD_AMBIENT,450,8.87,SUP-24,Y
SKU-0182,Wheat flour family pack,FOOD_AMBIENT,379,4.67,SUP-05,Y
SKU-0183,Ready meal 6 pack,FOOD_CHILLED,142,8.92,SUP-44,N
SKU-0184,Tea family pack,FOOD_AMBIENT,279,5.03,SUP-36,N
SKU-0185,Sandwich pack 6 pack,FOOD_CHILLED,63,4.19,SUP-26,Y
SKU-0186,Yoghurt 4 pack,FOOD_CHILLED,49,3.35,SUP-52,Y
SKU-0187,Ready meal 6 pack,FOOD_CHILLED,64,9.68,SUP-09,Y
SKU-0188,Soup mix 250 g,FOOD_AMBIENT,506,2.37,SUP-48,N
SKU-0189,Cold cuts 6 pack,FOOD_CHILLED,88,8.35,SUP-35,Y
SKU-0190,Chocolate bar 500 g,FOOD_AMBIENT,486,5.96,SUP-24,Y
SKU-0191,Cooking oil 500 g,FOOD_AMBIENT,606,7.21,SUP-39,Y
SKU-0192,Cream 6 pack,FOOD_CHILLED,145,14.62,SUP-37,Y
SKU-0193,Yoghurt 6 pack,FOOD_CHILLED,119,7.99,SUP-41,N
SKU-0194,Salted snacks 1 kg,FOOD_AMBIENT,331,9.95,SUP-03,Y
SKU-0195,Cooking oil family pack,FOOD_AMBIENT,375,0.72,SUP-27,Y
SKU-0196,Biscuits 250 g,FOOD_AMBIENT,600,6.27,SUP-59,Y
SKU-0197,Salad bowl 500 ml,FOOD_CHILLED,139,11.32,SUP-34,Y
SKU-0198,Fruit juice 1 l,FOOD_CHILLED,129,7.96,SUP-21,N
SKU-0199,Oats family pack,FOOD_AMBIENT,530,6.78,SUP-40,Y
SKU-0200,Antacid syrup 60 ct,HEALTHCARE,650,23.65,SUP-20,N
SKU-0201,Egg tray 1 l,FOOD_CHILLED,71,10.82,SUP-21,Y
SKU-0202,Hummus 4 pack,FOOD_CHILLED,146,11.24,SUP-08,Y
SKU-0203,Cornflakes twin pack,FOOD_AMBIENT,568,10.8,SUP-53,Y
SKU-0204,First-aid kit refill 100 ml,HEALTHCARE,514,13.75,SUP-46,Y
SKU-0205,Dessert cup 1 l,FOOD_CHILLED,101,10.36,SUP-14,Y
SKU-0206,Cornflakes family pack,FOOD_AMBIENT,457,11.23,SUP-09,Y
SKU-0207,Eye drops 30 ct,HEALTHCARE,965,11.85,SUP-43,N
SKU-0208,Pasta twin pack,FOOD_AMBIENT,418,1.1,SUP-22,N
SKU-0209,Cooking oil 250 g,FOOD_AMBIENT,320,0.56,SUP-60,Y
SKU-0210,Sugar family pack,FOOD_AMBIENT,668,7.98,SUP-21,Y
SKU-0211,Wheat flour 1 kg,FOOD_AMBIENT,271,8.0,SUP-35,N
SKU-0212,Salad bowl 500 ml,FOOD_CHILLED,49,13.83,SUP-27,N
SKU-0213,Instant noodles twin pack,FOOD_AMBIENT,217,11.97,SUP-51,Y
SKU-0214,Canned tomatoes 250 g,FOOD_AMBIENT,218,0.61,SUP-39,Y
SKU-0215,Bandage roll 200 ml,HEALTHCARE,656,19.81,SUP-34,Y
SKU-0216,Paracetamol pack 60 ct,HEALTHCARE,881,20.32,SUP-52,Y
SKU-0217,Instant noodles 1 kg,FOOD_AMBIENT,649,7.96,SUP-01,N
SKU-0218,First-aid kit refill 60 ct,HEALTHCARE,667,24.01,SUP-12,N
SKU-0219,Salted snacks 500 g,FOOD_AMBIENT,617,6.43,SUP-26,N
SKU-0220,Instant noodles 1 kg,FOOD_AMBIENT,323,5.99,SUP-01,Y
SKU-0221,Antacid syrup 100 ml,HEALTHCARE,822,30.89,SUP-20,Y
SKU-0222,Chocolate bar family pack,FOOD_AMBIENT,191,3.51,SUP-45,Y
SKU-0223,Cooking oil twin pack,FOOD_AMBIENT,656,4.03,SUP-44,Y
SKU-0224,Canned tomatoes family pack,FOOD_AMBIENT,300,7.85,SUP-24,N
SKU-0225,Pasta twin pack,FOOD_AMBIENT,316,6.0,SUP-48,N
SKU-0226,Fruit juice 1 l,FOOD_CHILLED,98,10.98,SUP-49,Y
SKU-0227,Biscuits 250 g,FOOD_AMBIENT,433,8.32,SUP-56,N
SKU-0228,Spice mix family pack,FOOD_AMBIENT,637,6.57,SUP-05,N
SKU-0229,Cooking oil 250 g,FOOD_AMBIENT,243,10.03,SUP-13,Y
SKU-0230,Paneer 6 pack,FOOD_CHILLED,66,5.93,SUP-29,Y
SKU-0231,Biscuits 250 g,FOOD_AMBIENT,680,1.55,SUP-29,N
SKU-0232,Ready meal 1 l,FOOD_CHILLED,61,8.43,SUP-37,Y
SKU-0233,Ready meal 250 g,FOOD_CHILLED,131,12.39,SUP-26,Y
SKU-0234,Yoghurt 250 g,FOOD_CHILLED,140,4.44,SUP-03,Y
SKU-0235,Eye drops 30 ct,HEALTHCARE,430,23.02,SUP-60,N
SKU-0236,Sugar 1 kg,FOOD_AMBIENT,212,3.8,SUP-50,Y
SKU-0237,Cream 1 l,FOOD_CHILLED,138,10.22,SUP-24,N
SKU-0238,Salted snacks twin pack,FOOD_AMBIENT,639,10.5,SUP-25,Y
SKU-0239,Cream 4 pack,FOOD_CHILLED,114,3.3,SUP-08,Y
SKU-0240,Hummus 500 ml,FOOD_CHILLED,95,8.64,SUP-54,Y
SKU-0241,Basmati rice 250 g,FOOD_AMBIENT,485,5.82,SUP-28,Y
SKU-0242,Digital thermometer strips 100 ml,HEALTHCARE,600,12.16,SUP-10,Y
SKU-0243,Cooking oil twin pack,FOOD_AMBIENT,212,9.81,SUP-40,N
SKU-0244,Hand sanitiser 30 ct,HEALTHCARE,381,11.9,SUP-07,Y
SKU-0245,Oats 500 g,FOOD_AMBIENT,229,3.31,SUP-26,Y
SKU-0246,Hummus 250 g,FOOD_CHILLED,72,11.68,SUP-09,Y
SKU-0247,Canned tomatoes 250 g,FOOD_AMBIENT,419,9.88,SUP-21,Y
SKU-0248,First-aid kit refill 60 ct,HEALTHCARE,1053,33.28,SUP-20,N
SKU-0249,Spice mix family pack,FOOD_AMBIENT,406,5.26,SUP-04,Y
SKU-0250,Chocolate bar twin pack,FOOD_AMBIENT,359,7.7,SUP-36,Y
SKU-0251,Fruit jam family pack,FOOD_AMBIENT,570,9.54,SUP-45,Y
SKU-0252,Paneer 6 pack,FOOD_CHILLED,83,6.58,SUP-31,Y
SKU-0253,Cheese slices 500 ml,FOOD_CHILLED,83,13.08,SUP-52,Y
SKU-0254,Yoghurt 1 l,FOOD_CHILLED,116,7.07,SUP-36,Y
SKU-0255,Antiseptic solution 100 ml,HEALTHCARE,613,12.43,SUP-42,Y
SKU-0256,Ready meal 500 ml,FOOD_CHILLED,92,2.75,SUP-04,Y
SKU-0257,Soup mix 1 kg,FOOD_AMBIENT,220,10.55,SUP-52,N
SKU-0258,Eye drops pack of 10,HEALTHCARE,1052,23.68,SUP-14,N
SKU-0259,Bandage roll 30 ct,HEALTHCARE,675,38.41,SUP-14,N
SKU-0260,Cooking oil 250 g,FOOD_AMBIENT,670,11.02,SUP-46,Y
SKU-0261,Hand sanitiser 100 ml,HEALTHCARE,610,23.43,SUP-25,Y
SKU-0262,Fruit jam 250 g,FOOD_AMBIENT,495,3.51,SUP-57,Y
SKU-0263,Multivitamin 100 ml,HEALTHCARE,845,31.18,SUP-59,Y
SKU-0264,Peanut butter 1 kg,FOOD_AMBIENT,603,1.03,SUP-48,Y
SKU-0265,Breakfast cereal 1 kg,FOOD_AMBIENT,607,3.89,SUP-22,Y
SKU-0266,Chocolate bar family pack,FOOD_AMBIENT,431,6.24,SUP-17,N
SKU-0267,Sugar family pack,FOOD_AMBIENT,682,5.8,SUP-11,Y
SKU-0268,Cornflakes 250 g,FOOD_AMBIENT,680,2.62,SUP-42,N
SKU-0269,Hummus 250 g,FOOD_CHILLED,49,12.83,SUP-53,N
SKU-0270,Basmati rice 1 kg,FOOD_AMBIENT,602,2.08,SUP-05,N
SKU-0271,Basmati rice family pack,FOOD_AMBIENT,403,6.32,SUP-04,N
SKU-0272,Soup mix 500 g,FOOD_AMBIENT,674,8.08,SUP-01,Y
SKU-0273,Antiseptic solution 100 ml,HEALTHCARE,377,3.62,SUP-35,N
SKU-0274,Yoghurt 1 l,FOOD_CHILLED,109,12.48,SUP-52,N
SKU-0275,Paracetamol pack 200 ml,HEALTHCARE,474,36.97,SUP-10,Y
SKU-0276,Cold cuts 4 pack,FOOD_CHILLED,112,4.91,SUP-18,N
SKU-0277,Lentils twin pack,FOOD_AMBIENT,562,11.53,SUP-37,Y
SKU-0278,Pasta 500 g,FOOD_AMBIENT,487,8.37,SUP-42,N
SKU-0279,Wheat flour twin pack,FOOD_AMBIENT,275,5.16,SUP-36,Y
SKU-0280,Basmati rice twin pack,FOOD_AMBIENT,355,1.45,SUP-42,N
SKU-0281,Calcium tablets 30 ct,HEALTHCARE,462,36.11,SUP-15,Y
SKU-0282,Digital thermometer strips pack of 10,HEALTHCARE,1073,35.84,SUP-18,Y
SKU-0283,Lentils 250 g,FOOD_AMBIENT,467,10.84,SUP-43,Y
SKU-0284,Dessert cup 500 ml,FOOD_CHILLED,85,1.71,SUP-38,Y
SKU-0285,Salad bowl 250 g,FOOD_CHILLED,136,12.58,SUP-20,Y
SKU-0286,Pasta 250 g,FOOD_AMBIENT,578,8.29,SUP-22,Y
SKU-0287,Egg tray 250 g,FOOD_CHILLED,62,12.17,SUP-33,N
SKU-0288,Fruit jam 1 kg,FOOD_AMBIENT,234,1.62,SUP-54,Y
SKU-0289,Cold cuts 6 pack,FOOD_CHILLED,143,9.79,SUP-26,N
SKU-0290,Fruit juice 1 l,FOOD_CHILLED,48,10.06,SUP-32,Y
SKU-0291,Cornflakes 250 g,FOOD_AMBIENT,564,5.47,SUP-43,Y
SKU-0292,Soup mix 500 g,FOOD_AMBIENT,482,9.68,SUP-06,Y
SKU-0293,Salted snacks family pack,FOOD_AMBIENT,337,9.01,SUP-24,Y
SKU-0294,Yoghurt 4 pack,FOOD_CHILLED,84,7.5,SUP-07,Y
SKU-0295,Instant noodles 250 g,FOOD_AMBIENT,621,5.66,SUP-33,Y
SKU-0296,Vitamin C tablets 30 ct,HEALTHCARE,456,16.09,SUP-39,Y
SKU-0297,Peanut butter twin pack,FOOD_AMBIENT,574,0.64,SUP-25,N
SKU-0298,Egg tray 500 ml,FOOD_CHILLED,116,13.72,SUP-37,Y
SKU-0299,Salted snacks family pack,FOOD_AMBIENT,353,2.1,SUP-18,Y
SKU-0300,Lentils twin pack,FOOD_AMBIENT,351,5.5,SUP-20,Y
SKU-0301,Fresh milk 500 ml,FOOD_CHILLED,91,4.9,SUP-47,N
SKU-0302,Cold cuts 250 g,FOOD_CHILLED,123,4.14,SUP-09,Y
SKU-0303,Antiseptic solution pack of 10,HEALTHCARE,705,34.14,SUP-52,N
SKU-0304,Oral rehydration salts 200 ml,HEALTHCARE,707,18.93,SUP-09,Y
SKU-0305,Soup mix 1 kg,FOOD_AMBIENT,385,6.01,SUP-26,N
SKU-0306,Canned tomatoes 1 kg,FOOD_AMBIENT,682,11.63,SUP-21,Y
SKU-0307,Salted snacks 250 g,FOOD_AMBIENT,553,1.81,SUP-13,Y
SKU-0308,Hummus 6 pack,FOOD_CHILLED,68,10.7,SUP-02,N
SKU-0309,Oats family pack,FOOD_AMBIENT,394,5.54,SUP-54,N
SKU-0310,Salad bowl 1 l,FOOD_CHILLED,146,12.23,SUP-09,N
SKU-0311,Pasta twin pack,FOOD_AMBIENT,438,8.07,SUP-51,Y
SKU-0312,Ready meal 1 l,FOOD_CHILLED,121,7.97,SUP-35,Y
SKU-0313,Cooking sauce family pack,FOOD_AMBIENT,217,9.59,SUP-45,N
SKU-0314,Cornflakes 1 kg,FOOD_AMBIENT,267,1.76,SUP-43,N
SKU-0315,Paracetamol pack 200 ml,HEALTHCARE,1027,25.67,SUP-42,N
SKU-0316,Salted snacks twin pack,FOOD_AMBIENT,519,11.61,SUP-07,Y
